data,fonte,titolo,link
17/03/2022,La Provincia Pavese, Emergenza Ucraina ecco UkraineHelpIT: una piattaforma che raccoglie e verifica info utili a chi fugge o chi vuole aiutare,https://laprovinciapavese.gelocal.it/pavia/cronaca/2022/03/17/news/emergenza-ucraina-ecco-ukrainehelpit-una-piattaforma-che-raccoglie-e-verifica-info-utili-a-chi-fugge-o-chi-vuole-aiutare-1.41308190
17/03/2022,ActionAid International Italia Onlus, 17 marzo. Online UkraineHelpIT servizio informazioni in tempo reale,https://www.actionaid.it/informati/notizie/solidarieta-alla-popolazione-ucraina
17/03/2022,Italia24.org, Progetto “UkraineHelpIT”: servizio in tempo reale per aiutare l’Ukraine,https://italia24.org/progetto-ukrainehelpit-servizio-in-tempo-reale-per-aiutare-lucraina/?fbclid=IwAR12RXW6fsHuDL8-Ap4noMgbI3CZGcFR6QI3NF8MrLral0U6CEACZtIwWiI
17/03/2022,Il Capoluogo d'Abruzzo,"Ucraina, nasce la piattaforma per la mappatura delle iniziative di solidarietà",https://www.ilcapoluogo.it/2022/03/17/ucraina-nasce-la-piattaforma-per-la-mappatura-delle-iniziative-di-solidarieta/?fbclid=IwAR12RXW6fsHuDL8-Ap4noMgbI3CZGcFR6QI3NF8MrLral0U6CEACZtIwWiI
17/03/2022,SeiTV, Guerra in Ucraina: nasce la piattaforma per mappare le iniziative solidali,https://www.seitv.it/2022/03/17/guerra-in-ucraina-in-campania-nasce-la-piattaforma-per-mappare-le-iniziative-solidali/
17/03/2022,NewTuscia.it, Progetto “UkraineHelpIT”: servizio in tempo reale per aiutare l’Ucraina,https://www.newtuscia.it/2022/03/17/progetto-ukrainehelpit-servizio-in-tempo-reale-per-aiutare-lucraina/
17/03/2022,BlogSicilia.it,Guerra Ucraina - attivisti digitali si mobilitano con l’iniziativa ukraine help,https://www.blogsicilia.it/oltrelostretto/guerra-ucraina-sito-internet-ukraine-help/701859/
17/03/2022,Emergenzaduepuntozero, I civic hacker si mobilitano per l’emergenza Ucraina,https://www.emergenzaduepuntozero.it/2022/03/17/ukrainahelpit/
17/03/2022,What-u.com, Per Putin questa pace non si può fare - nel frattempo nasce la mappa degli aiuti alle persone in fuga, https://www.what-u.com/2022/03/17/per-putin-questa-pace-non-si-puo-fare-nel-frattempo-nasce-la-mappa-degli-aiuti-alle-persone-in-fuga/
17/03/2022,L'Azione.it, UCRAINA: UkraineHelpIT- la piattaforma per mappare tutte le iniziative in Veneto, https://www.lazione.it/Attualita/UCRAINA-UkraineHelpIT-la-piattaforma-per-mappare-tutte-le-iniziative-in-Veneto
18/03/2022,Informazione e Comunicazione, Emergenza Ucraina, attivisti e attiviste digitali si mobilitano con l’iniziativa Ukraine Help,https://www.informazionecomunicazione.it/emergenza-ucraina-attivisti-e-attiviste-digitali-si-mobilitano-con-liniziativa-ukraine-help/
17/03/2022,IlNotiziario.net,Emergenza Ucraina - tutte le iniziative per aiutare in Lombardia,https://www.ilnotiziario.net/wp/2022/03/17/emergenza-ucraina-iniziative-lombardia/
18/03/2022, Liberi Oltre le Illusioni (Punto Stampa - video), https://youtu.be/k8MvvCd-CfY?t=1165
18/03/2022, Milano Pavia News - edizione Pavia (TG 19:30 - video), https://youtu.be/k8MvvCd-CfY?t=1165
